Participant,Station Name,Region,Dispatch Type,Category,Classification,Fuel Source - Primary,Fuel Source - Descriptor,Technology Type - Primary,Technology Type - Descriptor,Physical Unit No.,Unit Size (MW),Aggregation,DUID,Reg Cap (MW),Max Cap (MW),Max ROC/Min,
Origin Energy Electricity Limited,Uranquinty Power Station,NSW1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),3,166,Y,URANQ13,166,173,34,
Origin Energy Electricity Limited,Uranquinty Power Station,NSW1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),4,166,Y,URANQ14,166,173,34,
Diamond Energy Pty Ltd,Valdora Solar Farm,QLD1,Generator,Market,Non-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat panel,1,15,Y,VALDORA1,15,15,0,
Delta Electricity,"Vales Point ""B"" Power Station",NSW1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,5,660,Y,VP5,660,680,25,
Delta Electricity,"Vales Point ""B"" Power Station",NSW1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,6,660,Y,VP6,660,680,25,
Snowy Hydro Limited,Valley Power Peaking Facility,VIC1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),1-6,50,Y,VPGS1,50,60,11,
Snowy Hydro Limited,Valley Power Peaking Facility,VIC1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),2-6,50,Y,VPGS2,50,60,11,
Snowy Hydro Limited,Valley Power Peaking Facility,VIC1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),3-6,50,Y,VPGS3,50,60,11,
Snowy Hydro Limited,Valley Power Peaking Facility,VIC1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),4-6,50,Y,VPGS4,50,60,11,
Snowy Hydro Limited,Valley Power Peaking Facility,VIC1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),5-6,50,Y,VPGS5,50,60,11,
Snowy Hydro Limited,Valley Power Peaking Facility,VIC1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),6-6,50,Y,VPGS6,50,60,11,
Veolia Environmental Services (Australia) Pty Ltd,Veolia Ti Tree Bio Reactor,QLD1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Compression Reciprocating Engine,1-2,1,N,TITREE,2,2,,
Wilmar Sugar Pty Ltd,Victoria Mill,QLD1,Generator,Non-Market,Non-Scheduled,Renewable/ Biomass / Waste,Bagasse,Combustion,Steam Super Critical,3,5,N,-,24,24,0,
Wilmar Sugar Pty Ltd,Victoria Mill,QLD1,Generator,Non-Market,Non-Scheduled,Renewable/ Biomass / Waste,Bagasse,Combustion,Steam Super Critical,4,19,N,-,-,-,-,
Victorian Big Battery Pty Ltd,Victorian Big Battery,VIC1,Generator,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,1-212,1.415,Y,VBBG1,360,300,60,
Victorian Big Battery Pty Ltd,Victorian Big Battery,VIC1,Load,Market,Scheduled, , ,Storage,Battery and Inverter,1-212,1.179,Y,VBBL1,360,250,50,
Wagga Wagga Operationsco Pty Ltd Atf Wagga Wagga Operations Trust,Wagga North Solar Farm,NSW1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat Panel,1-34,1.411,Y,WAGGNSF1,55,48,10,
Iberdrola Australia Wallgrove Pty Limited,Wallgrove BESS 1,NSW1,Generator,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,1-36,1.39,Y,WALGRVG1,50,50,20,
Iberdrola Australia Wallgrove Pty Limited,Wallgrove BESS 1,NSW1,Load,Market,Scheduled,,,Storage,Battery and Inverter,1-36,1.306,Y,WALGRVL1,47,47,20,
AGL Sales (Queensland Electricity) Pty Limited,Wandoan Battery Energy Storage System (BESS),QLD1,Generator,Market,Scheduled,Battery storage,Grid,Storage,Battery,1-34,2.94,Y,WANDBG1,123,100,20,
AGL Sales (Queensland Electricity) Pty Limited,Wandoan Battery Energy Storage System (BESS),QLD1,Load,Market,Scheduled,,,Storage,Battery,1-34,2.94,Y,WANDBL1,123,100,20,
Wandoan Solar Project Co Pty Ltd as the Trustee for Wandoan Solar Project Trust,Wandoan Solar Farm 1,QLD1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat Panel,1-44,2.84,Y,WANDSF1,159,125,25,
The University of Queensland ,Warwick Solar Farm 1 ,QLD1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat Panel,1-24,1.33,Y,WARWSF1,39,32,7,
The University of Queensland ,Warwick Solar Farm 2,QLD1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat Panel,1-24,1.33,Y,WARWSF2,39,32,7,
Waterloo Wind Farm Pty Ltd,Waterloo Wind Farm,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1-37,3,N,WATERLWF,130.8,130,27,
Waterloo Wind Farm Pty Ltd,Waterloo Wind Farm,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,38-43,3.3,N,WATERLWF,-,-,-,
AGL SA Generation Pty Limited,Wattle Point Wind Farm,SA1,Generator,Market,Non-Scheduled*,Wind,Wind,Renewable,Wind - Onshore,1-55,1.65,Y,WPWF,90.75,91,19,
Pyrenees Wind Energy Developments Pty Ltd,Waubra Wind Farm,VIC1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1-128,1.5,N,WAUBRAWF,192,192,,
Lightsource Australia SPV 4 Pty Ltd ,Wellington Solar Farm ,NSW1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat Panel,1-132,1.287,Y,WELLSF1 ,216,170,34,
Wemen Asset Co Pty Ltd As Trustee For Wemen Solar Unit Trust,Wemen Solar Farm,VIC1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat Panel,1-39,2.256,Y,WEMENSF1,97.5,88,90,
Enel X Australia Pty Ltd ,West Illawarra Leagues Club Plant,NSW1,Generator,Market,Non-Scheduled,Fossil,Diesel,Combustion,Compression Reciprocating Engine,1,0.715,Y,WESTILL1,1,1,,
Enel X Australia Pty Ltd ,West Illawarra Leagues Club Plant,NSW1,Generator,Market,Non-Scheduled,Fossil,Diesel,Combustion,Compression Reciprocating Engine,2,0.275,N,WESTILL1,-,-,-,
AGL Hydro Partnership,West Kiewa Power Station,VIC1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,WKIEWA1,15.5,Y,WKIEWA1,31,34,15,
AGL Hydro Partnership,West Kiewa Power Station,VIC1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,WKIEWA2,15.5,Y,WKIEWA2,31,34,15,
West Wyalong Fund Pty Ltd as Trustee for the West Wyalong Trust,West Wyalong Solar Farm,NSW1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat Panel,1-29,3.103,Y,WSTWYSF1,105,90,18,
Western Downs Green Power Hub Pty Ltd ATF Western Downs Green Power Hub Trust,Western Downs GPH,QLD1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat Panel,1-83,2.395,Y,WDGPH1,501,400,80,
Western Downs Green Power Hub Pty Ltd ATF Western Downs Green Power Hub Trust,Western Downs GPH,QLD1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat Panel,84-167,2.395,Y,WDGPH1,501,400,80,
Enel X Australia Pty Ltd ,Western Suburbs League Club (Campbelltown) Plant,NSW1,Generator,Market,Non-Scheduled,Fossil,Diesel,Combustion,Compression Reciprocating Engine,1,1,N,WESTCBT1,1,1,,
White Rock Wind Farm Pty Ltd,White Rock Solar Farm,NSW1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat Panel,71-78,2.75,Y,WRSF1,22,20,50,
White Rock Wind Farm Pty Ltd,White Rock Wind Farm,NSW1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1-70,2.5,Y,WRWF1,175,172,50,
Whitsunday Solar Farm Pty Ltd,Whitsunday Solar Farm,QLD1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat Panel,1-23,2.5,Y,WHITSF1,57.5,56,20,
Origin Energy Electricity Limited,Whitwood Road Renewable Energy Facility,QLD1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Compression Reciprocating Engine,1,1.1,N,WHIT1,1,1,0,
Santos NSW (Narrabri Power) Pty Ltd,Wilga Park B,NSW1,Generator,Market,Non-Scheduled,Fossil,Coal Seam Methane,Combustion,Spark Ignition Reciprocating Engine,1-2,3,N,WILGB01,6,6,0,
Santos NSW (Narrabri Power) Pty Ltd,Wilga Park B,NSW1,Generator,Market,Non-Scheduled,Fossil,Coal Seam Methane,Combustion,Spark Ignition Reciprocating Engine,3-4,3,N,WILGB01,6,6,0,
Santos NSW (Narrabri Power) Pty Ltd,Wilga Park Power Station,NSW1,Generator,Market,Non-Scheduled,Fossil,Coal Seam Methane,Combustion,Spark Ignition Reciprocating Engine,1-4,1,N,WILGAPK,10,10,0,
Santos NSW (Narrabri Power) Pty Ltd,Wilga Park Power Station,NSW1,Generator,Market,Non-Scheduled,Fossil,Coal Seam Methane,Combustion,Spark Ignition Reciprocating Engine,5 - 6,3,N,WILGAPK,-,-,-,
Pacific Hydro Investments Pty Ltd,William Hovell Power Station,VIC1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Run of River,1,1.5,N,WILLHOV1,1.5,2,0,
Willogoleche Power Pty Ltd As The Trustee For The Willogoleche Operating Trust,Willogoleche Wind Farm,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1-24,3.83,Y,WGWF1,91.92,119,50,
Willogoleche Power Pty Ltd As The Trustee For The Willogoleche Operating Trust,Willogoleche Wind Farm,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,25-32,3.43,Y,WGWF1,27.44,119,50,
Windy Hill Wind Farm Pty Ltd,Windy Hill Wind Farm,QLD1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1-20,0.6,Y,WHILL1,12,12,,
EDL LFG (SA) Pty Ltd,Wingfield 1 Landfill Gas Power Station,SA1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,1-4,1.03,N,WINGF1_1,4.12,5,0,
EDL LFG (SA) Pty Ltd,Wingfield 2 Landfill Gas Power Station,SA1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,1-4,1.03,N,WINGF2_1,4.12,5,0,
Winton Asset Co Pty Ltd as the Trustee for Winton Asset Trust,Winton Solar Farm,VIC1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat Panel,1-1076,0.0789,Y,WINTSF1,107,85,17,
CleanCo Queensland Limited,Wivenhoe Power Station,QLD1,Load,Market,Scheduled,-,-,-,-,1,240,Y,PUMP1,240,245,120,
CleanCo Queensland Limited,Wivenhoe Power Station,QLD1,Load,Market,Scheduled,-,-,-,-,2,240,Y,PUMP2,240,245,120,
CleanCo Queensland Limited,Wivenhoe Power Station,QLD1,Generator,Market,Scheduled,Hydro,Water,Renewable,Pump Storage,1,285,Y,W/HOE#1,285,285,300,
CleanCo Queensland Limited,Wivenhoe Power Station,QLD1,Generator,Market,Scheduled,Hydro,Water,Renewable,Pump Storage,2,285,Y,W/HOE#2,285,285,300,
LMS Energy Pty Ltd,Wollert Renewable Energy Facility,VIC1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,1-7,1.1,N,WOLLERT1,7,7,0,
Progressive Green Pty Ltd,Wonthaggi Wind Farm,VIC1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1-6,2,Y,WONWP,12,12,,
EnergyAustralia Pty Ltd,Woodlawn Bioreactor Energy Generation Station,NSW1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Compression Reciprocating Engine,1-6,1.065,N,WDLNGN01,7,7,,
EnergyAustralia Pty Ltd,Woodlawn Bioreactor Energy Generation Station,NSW1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Compression Reciprocating Engine,7,1.065,N,WDLNGN01,-,-,,
Woodlawn Wind Pty Ltd,Woodlawn Wind Farm,NSW1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,,2.1,N,WOODLWN1,48.3,48,13,
Hydro-Electric Corporation,Woolnorth Studland Bay / Bluff Point Wind Farm,TAS1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,WBP 1-37,1.75,Y,WOOLNTH1,140,140,,
Hydro-Electric Corporation,Woolnorth Studland Bay / Bluff Point Wind Farm,TAS1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,WSB 1-25,3,Y,WOOLNTH1,-,-,-,
Woolooga Fund Pty Ltd as Trustee for the Woolooga Trust ,Woolooga Solar Farm,QLD1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,1-89,1.977,Y,WOOLGSF1,222.5,176,36,
Wyalong Solar Farm Pty Ltd as trustee for the Wyalong Solar Farm Unit Trust,Wyalong Solar Farm,NSW1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,1-38,1.394,Y,WYASF1,62,53,11,
Hydro Power Pty Limited,Wyangala A Power Station,NSW1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,20,N,WYANGALA,20,20,,
Hydro Power Pty Limited,Wyangala B Power Station,NSW1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,4,N,WYANGALB,4,4,,
EnergyAustralia Pty Ltd,Wyndham Waste Disposal Facility,VIC1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Compression Reciprocating Engine,1,1,N,WYNDW,1,1,,
EnergyAustralia Yallourn Pty Ltd,Yallourn 'W' Power Station,VIC1,Generator,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,1,360,Y,YWPS1,360,395,79,
EnergyAustralia Yallourn Pty Ltd,Yallourn 'W' Power Station,VIC1,Generator,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,2,360,Y,YWPS2,360,395,79,
EnergyAustralia Yallourn Pty Ltd,Yallourn 'W' Power Station,VIC1,Generator,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,3,380,Y,YWPS3,380,405,81,
EnergyAustralia Yallourn Pty Ltd,Yallourn 'W' Power Station,VIC1,Generator,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,4,380,Y,YWPS4,380,405,81,
Pacific Hydro Yaloak South Pty Ltd,Yaloak South Wind Farm,VIC1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1-14,2.05,Y,YSWF1,28.7,28,172,
Energy Pacific (Vic) Pty Ltd,Yambuk Wind Farm,VIC1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1-20,1.5,N,YAMBUKWF,30,30,,
Yarranlea Solar Pty Ltd ,Yarranlea Solar Farm,QLD1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,1-44,2.34,Y,YARANSF1,121,103,20,
AGL Hydro Partnership,Yarrawonga Hydro Power Station,VIC1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1-2,4.725,N,YWNGAHYD,9,9,0,
RTA Yarwun Pty Ltd,Yarwun Power Station,QLD1,Generator,Market,Non-Scheduled**,Fossil,Natural Gas,Combustion,Combined Cycle Gas Turbine (CCGT),1,154,Y,YARWUN_1,154,180,36,
Yatpool Sun Farm Pty Ltd,Yatpool Solar Farm,VIC1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,1-36,2.25,Y,YATSF1,94,81,16,
Alinta Energy Retail Sales Pty Ltd,Yawong Wind Farm,VIC1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1-2,3.6,Y,YAWWF1,7.2,7.2,0,
Lal Lal Wind Farms Nom Co Pty Ltd,Yendon Wind Farm,VIC1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1-38,3.763,Y,YENDWF1,144.4,142,28,
